,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag,cluster,prob
351,3218831629030749312,88.3845107445167,0.33297761710580426,0.7876043399683195,-1.7987411884902138,-4.496626228149793,1.7691574,17.598116,1,0.5866448064205343
355,3218831663388015744,88.39953701356609,0.3455886960792939,0.758943377998698,6.807620167343528,0.5397728605173353,1.9438305,20.373924,1,0.9997955089948224
358,3218831667684404736,88.39500868686689,0.3428362124871925,0.6576797178825144,28.183236415326533,-41.75688278546959,1.5353384,16.183101999999998,1,1.0
361,3218831702044135808,88.4175801832527,0.3455245232336298,1.1342603863328808,-2.9493801948312286,-10.628667505955054,2.1025143,17.842973999999995,1,0.9999999999308056
382,3218831835187614208,88.4627002653542,0.3413888640963463,1.22742851409493,5.051922486297532,0.07661320195699305,2.1901588,19.34814,1,0.9699464321430418
388,3218831869546448128,88.46300449069811,0.35357503317302336,0.914761739781456,-2.7085866426020355,-6.080665521995988,2.2229443,20.068335,1,0.9986456653055108
396,3218831908203134464,88.45004745333063,0.35264826848887404,-2.561530183558657,-0.7886348441687633,0.8493575807810629,1.7022133000000002,19.976736,1,0.9999950403708442
400,3218831972625401216,88.48499031514645,0.3673993294907424,1.1431760528958301,0.06617676724013348,12.038795122373354,2.291338,18.617931,1,0.9999761808491704
405,3218832006986321536,88.49456991609495,0.3662189617242118,2.700564550485086,12.539425432778428,-5.605807875612115,0.12169075,19.96125,1,1.0
410,3218832045640403712,88.46713609099544,0.37452709142720336,1.3952712505601963,0.4333712603512233,-5.501189826406233,2.1239548,20.037188,1,0.7267284756035398
413,3218832045641494400,88.47012433236453,0.3718899237943104,1.7275560205882043,-3.1495121884413857,-8.768576603622384,1.3280125,12.579585,1,0.9999999980111659
