source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
427593822869687424,10.769828893059692,0.58714217,61.80220475353023,0.6606252,-1.0154487062279756,0.8140599,-1.1344799288069893,0.7545456,-0.28605358425167793,1.0444053,20.600725,1.9910545
427593822869690368,10.778023625538028,0.90912646,61.79674301739937,1.0590222,0.9310045929691435,1.3566879,-2.555107688058744,1.2117804,2.8046411547476726,1.9842582,20.754051,
427593822873146496,10.785818210762656,0.051106572,61.7928226192625,0.052589595,0.474218000796094,0.07298936,1.6167907671074995,0.067851126,-0.8824497217827412,0.07729733,17.288427,1.9208069
427593852931936896,10.790306955896504,0.12545666,61.80450571872102,0.13750884,0.33188295343660557,0.18162182,0.5940343888584898,0.16140838,-9.036121564755888,0.20066042,18.805079,2.0955143
427593852931937920,10.783541191643206,0.07222308,61.8079968639054,0.07991345,1.537448071487581,0.105820835,8.962262213910252,0.09524729,-11.619924452457576,0.11046259,17.939125,2.489359
427593852931944960,10.775765450236968,0.10625651,61.81005846971868,0.11706274,0.4398808544752519,0.15383857,-1.6569277426143665,0.13935901,-0.34003667203538324,0.16884257,18.559034,2.732853
427593852931967360,10.769061161384604,0.02956757,61.815039741702186,0.029344857,0.5590605121496209,0.041561574,3.5440677183467573,0.040305994,-1.8609847367293788,0.042520985,16.219086,1.7415657
427593852931969536,10.7776583107552,0.1501838,61.81584800162119,0.1564802,0.16879166086166184,0.21788308,-4.16719474617062,0.1882388,1.44580026777653,0.21385099,18.998997,1.9108124
427593857227331200,10.763514093900252,0.46525055,61.82369169026288,0.42246142,1.9553404715841785,0.6242747,-0.28377199492971195,0.55312425,-0.06260764277180925,0.56126446,20.330824,1.5809574
427593857227342976,10.758951109489127,0.29128116,61.81695588807156,0.30353048,0.8494839891556193,0.4201702,-2.3664845839600837,0.37662172,1.2084318230975564,0.41305164,20.01822,2.216467
