,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,g_rp,cluster,prob
39,3218827368421593856,88.5005126035147,0.2755570727854124,0.7318043081858905,4.501901963145047,-0.2780612507982373,19.182205,2.031128,1.0138416,0,0.418302782241488
40,3218827368421594752,88.4898300312787,0.27705816082579465,0.8609402461060247,-4.397937969086464,-0.4466734758634308,17.978218,1.8744793000000002,0.9438075999999999,0,0.4276839367443429
41,3218827368421597568,88.49433145968722,0.2816253431586865,0.8668454627198218,-2.8843432231120376,4.36611964800357,17.503876,1.933857,0.9841404,0,0.002469654141266289
42,3218827372717097216,88.49590085786562,0.2881356589281512,1.7929380066617593,-7.790786321126242,13.157859590062444,15.713629000000001,1.7240113999999997,0.9184674999999999,1,0.7851638380002013
43,3218827372717097472,88.49599560799187,0.28738153649002435,1.7989996999599909,-7.897530466010764,13.113882516437766,14.817637,1.5467787,0.8446188,1,0.7888057330238144
44,3218827372717099648,88.49745815101463,0.28055387125538794,0.4539723302515993,1.7917829569573445,-4.030985647526897,16.618893,1.6110954,0.8545151,0,0.010398791439016754
45,3218827372717103488,88.48443897516901,0.2800015330505484,0.9050273527190199,-2.5488341191576334,4.350186371847202,14.972862,1.4995661,0.81715775,0,0.002241248330987382
46,3218827402781339648,88.50722975104895,0.2896945550218307,0.4110873866190885,2.6305105078644178,-2.0565020271161303,18.819094,2.080019,1.0064296999999998,0,0.006216890676556487
47,3218827407075764736,88.50388400456276,0.2909102953602985,0.092248347763423,1.5880513596126604,-1.5374697800571862,20.106216,1.8272971999999998,0.8549441999999999,0,0.0026328473620243595
48,3218827407076834432,88.50024261438602,0.2886973188448093,0.9490954794538162,1.169084244555307,0.6318200686560098,19.824379999999998,1.6628779999999999,0.8673495999999999,0,0.005160991191405838
49,3218827407077409536,88.50637981609442,0.28190183371526195,0.5128044968126935,0.2087384011871864,0.8558646493697467,20.559804999999997,1.0564537,0.95451355,0,0.0015829834074916314
50,3218827712018984704,88.51992965883876,0.2896748854231513,0.11589981987006565,0.21606215275544413,1.4794044173417786,19.161163000000002,1.9042186999999997,0.93616486,0,0.0022654478096263025
51,3218827750674199424,88.54041655937101,0.3062801571002345,0.973142240373258,-2.9720518476913056,4.167165896014243,17.337220000000002,1.9878197,0.99398994,0,0.002492571603307133
53,3218827815098207488,88.52039199445156,0.3050652307301681,1.0698618208030135,-0.06416405088654599,4.895467375916577,16.403852,2.0613642,1.0173406999999999,0,0.018249013052590943
54,3218827815098210944,88.52354162410414,0.31089997938757885,0.9036902361399128,-1.9805046207723944,3.041546722178152,16.15413,2.0706062,1.0182495,0,0.0016778982088076538
55,3218827819393681792,88.5196052286467,0.3093202540022066,1.4128563866283883,-2.641049584649186,5.10101148341012,15.544448999999998,1.7972422,0.9626074,0,0.004785015144261634
56,3218827849460533632,88.54741986067938,0.3084937917385249,2.394279468583715,-1.1906856785046405,2.9692142442488776,20.766678,1.7318478,0.91114044,0,0.4005516341159889
57,3218827918176528896,88.53432055870041,0.3188200184498049,1.1254809613459755,-2.8830120538944084,3.950840241674837,19.49573,2.4483624,1.1571121000000002,0,0.002596966653278026
58,3218827918176529792,88.53908228088501,0.3199689551022558,0.4492655920828891,-0.2148826185839953,1.2062837895415477,19.362406,1.9014435,0.9833851,0,0.001357197199437961
61,3218827922472886400,88.54076017098845,0.3211758667391336,3.3578678565745754,-2.9183841727378934,-32.59085728419918,13.977259,1.2348185,0.691761,1,1.0
